col1 col2 col3 col4 col5
OII_832 83.27572 0.0444 213500000.0 15.9994
OIII_832 83.2927 0.107 342900000.0 15.9994
OII_833 83.33294 0.0886 851000000.0 15.9994
OII_834 83.44655 0.132 842960000.0 15.9994
FeIII_859 85.9723 0.115 849100000.0 55.847
CII_903 90.36234 0.168 686200000.0 12.011
CII_904 90.39616 0.336 2743000000.0 12.011
Ly_lim 91.18 0.0 0.0 0.0
PIII_913 91.39683 0.203 4790000000.0 30.9736
Ly_15 91.53289 0.0003858 1024000.0 1.0079
NII_915 91.56131 0.159 1270000000.0 14.0067
Ly_14 91.58238 0.0004689 1243000.0 1.0079
Ly_13 91.64291 0.0005777 1529000.0 1.0079
D_12 91.6931 0.00072 1913000.0 2.0079
PIII_917 91.71178 0.404 4780000000.0 30.9736
Ly_12 91.71805 0.0007231 1911000.0 1.0079
D_11 91.78796 0.00092 2434000.0 2.0079
Ly_11 91.81293 0.0009219 2432000.0 1.0079
D_10 91.91013 0.0012 3162000.0 2.0079
Ly_10 91.93513 0.001201 3160000.0 1.0079
D_9 92.07125 0.0016 4214000.0 2.0079
Ly_9 92.0963 0.001606 4210000.0 1.0079
D_8 92.28992 0.00222 5789000.0 2.0079
Ly_8 92.31503 0.002217 5785000.0 1.0079
D_7 92.59737 0.00318 8261000.0 2.0079
Ly_7 92.62256 0.003185 8255000.0 1.0079
D_6 93.0495 0.00482 12370000.0 2.0079
Ly_6 93.07482 0.00481 12360000.0 1.0079
SVI_933 93.3378 0.437 1670000000.0 32.066
OI_936 93.66295 0.00365 0.0 15.9994
D_e 93.75483 0.0078 24500000.0 2.0079
Ly_e 93.78034 0.0078 24500000.0 1.0079
SVI_944 94.4523 0.215 1610000000.0 32.066
CI_945 94.5191 0.152 379000000.0 12.011
OI_948 94.86855 0.00631 0.0 15.9994
D_d 94.94846 0.01394 42030000.0 2.0079
Ly_d 94.9743 0.0139 42040000.0 1.0079
PII_961 96.10412 0.349 5090000000.0 30.9736
PII_963 96.38005 1.46 4140000000.0 30.9736
NI_963 96.39903 0.0124 85500000.0 14.0067
NI_964 96.46256 0.0079 83100000.0 14.0067
NI_965 96.50413 0.00386 81600000.0 14.0067
OI_971 97.17382 0.0116 58500000.0 15.9994
D_g 97.22722 0.02899 81270000.0 2.0079
Ly_g 97.25367 0.02901 81260000.0 1.0079
OI_976 97.64481 0.0033 38600000.0 15.9994
CIII_977 97.70201 0.757 1760000000.0 12.011
OIb_988 98.86549 0.0083 56600000.0 15.9994
OIa_988 98.87734 0.0465 226000000.0 15.9994
NIII_989 98.9799 0.123 500000000.0 14.0067
SIII_1012 101.2495 0.0438 281000000.0 32.066
D_b 102.54432 0.0791 189700000.0 2.0079
Ly_b 102.57222 0.0791 189700000.0 1.0079
OI_1025 102.57616 0.0163 102000000.0 15.9994
MgII_1025 102.59681 0.000743 2350000.0 24.305
MgII_1026 102.61134 0.000392 2480000.0 24.305
OVI_1031 103.19261 0.1325 414900000.0 15.9994
CII_1036 103.63367 0.118 2200000000.0 12.011
OVI_1037 103.76167 0.0658 407600000.0 15.9994
OI_1039 103.92304 0.00907 187000000.0 15.9994
ArI_1048 104.82199 0.263 31800000.0 39.948
SIV_1062 106.2664 0.0494 169000000.0 32.066
ArI_1066 106.66598 0.0675 132000000.0 39.948
FeII_1081 108.18748 0.0126 59800000.0 55.847
NII_1083 108.39937 0.111 374000000.0 14.0067
FeII_1096 109.68769 0.0327 226000000.0 55.847
PV_1117 111.79774 0.472 1260000000.0 30.9736
FeII_1122 112.19748 0.029 192000000.0 55.847
FeIII_1122 112.2524 0.0544 370000000.0 55.847
PV_1128 112.80078 0.233 1220000000.0 30.9736
FeII_1133 113.36654 0.00472 30600000.0 55.847
NI_1134a 113.41653 0.0146 151000000.0 14.0067
NI_1134b 113.44149 0.0287 149000000.0 14.0067
NI_1134c 113.49803 0.0416 144000000.0 14.0067
FeII_1142 114.23656 0.00401 25600000.0 55.847
FeII_1143 114.3226 0.0192 98100000.0 55.847
FeII_1145 114.49379 0.083 352000000.0 55.847
PII_1152 115.2818 0.245 1230000000.0 30.9736
SIII_1190 119.0203 0.0237 66500000.0 32.066
SiII_1190 119.04158 0.292 4080000000.0 28.0855
SiII_1193 119.32897 0.582 4070000000.0 28.0855
MnII_1197 119.7184 0.217 785000000.0 54.9309
MnII_1199 119.9391 0.169 785000000.0 54.9309
NI_1199 119.95496 0.132 407000000.0 14.0067
NI_1200 120.02233 0.0869 402000000.0 14.0067
NI_1201 120.07098 0.0432 400000000.0 14.0067
SiIII_1206 120.65 1.63 2480000000.0 28.0855
D_a 121.53394 0.416 627000000.0 2.0079
Ly_a 121.567 0.416 626500000.0 1.0079
NV_1238 123.8821 0.156 339100000.0 14.0067
MgII_1239 123.99253 0.000632 1370000.0 24.305
MgII_1240 124.03947 0.000356 1540000.0 24.305
NV_1242 124.2804 0.0777 335600000.0 14.0067
SII_1250 125.0578 0.00543 46300000.0 32.066
SII_1253 125.3805 0.0109 46200000.0 32.066
SiI_1255 125.5272 0.2201 310600000.0 28.0855
SII_1259 125.9518 0.0166 46500000.0 32.066
SiII_1260 126.04221 1.1799999 2950000000.0 28.0855
FeII_1260 126.0533 0.024 126000000.0 55.847
SiII*_1264 126.47377 1.05 2930000000.0 28.0855
CI_1277 127.72452 0.0853 232000000.0 12.011
TiIII_1298 129.8697 0.0964 635000000.0 47.867
OI_1302 130.21685 0.048 565000000.0 15.9994
SiII_1304 130.43702 0.0863 1010000000.0 28.0855
NiII_1317 131.7217 0.07786 420380000.0 58.6934
CII_1334 133.45323 0.128 288000000.0 12.011
CII*_1335 133.57077 0.1149 288000000.0 12.011
CuII_1358 135.8773 0.263 720000000.0 63.546
NiII_1370 137.0132 0.0769 410000000.0 58.6934
SiIV_1393 139.37602 0.513 880000000.0 28.0855
SnII_1400 140.04 0.7141 0.0 118.71
SiIV_1402 140.27729 0.254 862000000.0 28.0855
GaII_1414 141.4402 1.77 1970000000.0 60.723
NiII_1454 145.4842 0.0323 101790000.0 58.6934
CoII_1466 146.6211 0.031 78700000.0 58.9332
SiII_1526 152.6707 0.133 1130000000.0 28.0855
CIV_1548 154.8204 0.1899 264300000.0 12.011
CIV_1550 155.0781 0.09475 262800000.0 12.011
CI_1560 156.03092 0.0774 117000000.0 12.011
SiI_1562 156.2001 0.3758 342500000.0 28.0855
CoII_1574 157.45508 0.025 67300000.0 58.9332
ZnI_1589 158.9561 0.1219 107300000.0 65.39
FeII_1608 160.84511 0.0577 274000000.0 55.847
FeII_1611 161.12005 0.00138 286000000.0 55.845
SiI_1625 162.57058 0.0852 71700000.0 28.0855
SiI_1631 163.117 0.2051 171400000.0 28.0855
CI_1656 165.69284 0.149 360000000.0 12.011
AlII_1670 167.078861 1.74 1390000000.0 26.981
NiII_1709 170.96042 0.0324 435000000.0 58.6934
NiII_1741 174.15531 0.0427 500000000.0 58.6934
NiII_1751 175.19157 0.0277 370000000.0 58.6934
SiII_1808 180.80129 0.00208 2380000.0 28.0855
MgI_1827 182.79351 0.0242 16100000.0 24.305
SiI_1845 184.55205 0.27 176000000.0 28.0855
FeI_1851 185.16902 0.02222 55580000.0 55.847
AlIII_1854 185.47184 0.559 542000000.0 26.981
AlIII_1862 186.2791 0.278 534000000.0 26.981
CoII_1941 194.12852 0.034 435000000.0 58.9332
CoII_2012 201.21664 0.0368 345000000.0 58.9332
ZnII_2026 202.6137 0.501 407000000.0 65.39
MgI_2026 202.64768 0.113 72500000.0 24.305
CrII_2056 205.62569 0.103 407000000.0 51.9961
CrII_2062 206.22361 0.0759 406000000.0 51.9961
ZnII_2062 206.26604 0.246 386000000.0 65.39
CrII_2066 206.6164 0.0512 417000000.0 51.9961
ZnI_2139 213.92477 1.47 714000000.0 65.39
FeI_2167 216.74534 0.15 273600000.0 55.847
FeII_2249 224.98768 0.00182 331000000.0 55.847
FeII_2260 226.07805 0.00244 258000000.0 55.847
FeI_2298 229.88769 0.0245 135000000.0 55.847
FeII_2344 234.42139 0.114 268000000.0 55.847
FeII_2367 236.75905 2.16e-05 307000000.0 55.847
FeII_2374 237.44612 0.0313 309000000.0 55.847
FeII_2382 238.27652 0.32 313000000.0 55.847
FeI_2463 246.33922 0.0532 500000000.0 55.847
FeI_2484 248.40209 0.544 500000000.0 55.847
FeI_2501 250.18858 0.0493 385000000.0 55.847
SiI_2515 251.50725 0.211 222000000.0 28.0855
FeI_2523 252.36083 0.203 385000000.0 55.847
MnII_2576 257.6877 0.361 282000000.0 54.9308
FeII_2586 258.665 0.0691 272000000.0 55.847
MnII_2594 259.4499 0.28 278000000.0 54.9308
FeII_2600 260.01729 0.239 270000000.0 55.847
MnII_2606 260.6462 0.198 272000000.0 54.9308
FeI_2719 271.98329 0.122 175000000.0 55.847
MgII_2796 279.63543 0.6155 262500000.0 24.305
MgII_2803 280.35315 0.3058 259500000.0 24.305
MgI_2852 285.29631 1.83 500000000.0 24.305
FeI_2967 296.77646 0.0438 127000000.0 55.847
FeI_2984 298.44402 0.029 175000000.0 55.847
FeI_3021 302.15187 0.104 169000000.0 55.847
TiII_3384 338.47304 0.358 175000000.0 47.867
FeI_3441 344.15918 0.0236 17100000.0 55.847
H_15 369.712 0.0007274 1024000.0 1.0079
H_14 370.382 0.0008769 1243000.0 1.0079
H_13 371.194 0.0010708 1529000.0 1.0079
FeI_3720 372.09928 0.0411 16300000.0 55.847
H_12 372.191 0.0013269 1911000.0 1.0079
H_11 373.434 0.0016728 2432000.0 1.0079
H_10 375.012 0.0021521 3160000.0 1.0079
H_9 377.06 0.0028368 4210000.0 1.0079
H_8 379.787 0.0038526 5785000.0 1.0079
H_7 383.535 0.0054317 8255000.0 1.0079
FeI_3861 386.10058 0.0217 12800000.0 55.847
H_6 388.902 0.0080397 12360000.0 1.0079
CaII_3934 393.4775 0.6267 144400000.0 40.078
CaII_3969 396.95901 0.3116 140900000.0 40.078
H_e 397.008 0.012711 24500000.0 1.0079
H_d 410.174 0.022105 42040000.0 1.0079
CaI_4227 422.7918 1.77 220000000.0 40.078
H_g 434.047 0.044694 81260000.0 1.0079
H_b 486.134 0.11938 189700000.0 1.0079
NaI_5891 589.15833 0.6408 61570000.0 22.9898
NaI_5897 589.75581 0.3201 61390000.0 22.9898
H_a 656.283 0.64108 626500000.0 1.0079
LiI_6709 670.96276 0.498 36890000.0 6.941
KI_7701 770.10835 0.3327 37420000.0 39.0983
Pa_15 843.775 0.0009921 1024000.0 1.0079
Pa_14 846.704 0.0011893 1243000.0 1.0079
Pa_13 850.227 0.0014435 1529000.0 1.0079
Pa_12 854.517 0.0017772 1911000.0 1.0079
Pa_11 859.818 0.0022246 2432000.0 1.0079
Pa_10 866.48 0.0028402 3160000.0 1.0079
Pa_9 875.025 0.0037133 4210000.0 1.0079
Pa_8 886.255 0.0049988 5785000.0 1.0079
Pa_7 901.467 0.0069831 8255000.0 1.0079
Pa_6 922.877 0.010239 12360000.0 1.0079
Pa_e 954.57 0.016044 24500000.0 1.0079
Pa_d 1004.94 0.0277 42040000.0 1.0079
Pa_g 1093.81 0.05587 81260000.0 1.0079
Pa_b 1281.81 0.15066 189700000.0 1.0079
Br_15 1525.99 0.0012049 1024000.0 1.0079
Br_14 1534.11 0.0014389 1243000.0 1.0079
Br_13 1543.82 0.0017393 1529000.0 1.0079
Br_12 1555.57 0.0021322 1911000.0 1.0079
Br_11 1569.99 0.0026572 2432000.0 1.0079
Br_10 1587.98 0.0033769 3160000.0 1.0079
Br_9 1610.86 0.0043945 4210000.0 1.0079
Br_8 1640.64 0.0058887 5785000.0 1.0079
Br_7 1680.57 0.0081908 8255000.0 1.0079
Br_6 1736.12 0.011966 12360000.0 1.0079
Br_e 1817.32 0.018708 24500000.0 1.0079
Pa_a 1875.1 0.84254 626500000.0 1.0079
Br_d 1944.45 0.032309 42040000.0 1.0079
Br_g 2165.52 0.065521 81260000.0 1.0079
Br_b 2625.14 0.17935 189700000.0 1.0079
HeII_1640 164.04 0.0 0.0 0.0
OIII_1665 166.585 0.0 0.0 0.0
CIII_1908 190.8734 0.0 0.0 0.0
CII_2326 232.6 0.0 0.0 0.0
NeIV_2439 243.95 0.0 0.0 0.0
TiII_3066 306.6354 0.0 0.0 0.0
NeV_3346 334.679 0.0 0.0 0.0
NeVI_3426 342.685 0.0 0.0 0.0
OII_3727 372.7092 0.0 0.0 0.0
OII_3729 372.9875 0.0 0.0 0.0
HeI_3889 388.9 0.0 0.0 0.0
SII_4072 407.23 0.0 0.0 0.0
OIII_4364 436.4436 0.0 0.0 0.0
OIII_4932 493.2603 0.0 0.0 0.0
OIII_4960 496.0295 0.0 0.0 0.0
OIII_5008 500.824 0.0 0.0 0.0
OI_6302 630.2046 0.0 0.0 0.0
OI_6365 636.5536 0.0 0.0 0.0
NI_6529 652.903 0.0 0.0 0.0
NII_6549 654.986 0.0 0.0 0.0
NII_6585 658.527 0.0 0.0 0.0
SII_6718 671.829 0.0 0.0 0.0
SII_6732 673.267 0.0 0.0 0.0
K_3934 393.4777 0.0 0.0 0.0
H_3969 396.9588 0.0 0.0 0.0
G_4305 430.561 0.0 0.0 0.0
Mg_5176 517.67 0.0 0.0 0.0
Na_5895 589.56 0.0 0.0 0.0
CaII_8500 850.036 0.0 0.0 0.0
CaII_8544 854.444 0.0 0.0 0.0
CaII_8664 866.452 0.0 0.0 0.0
NeIII_3869 386.9 0.0 0.0 0.0
HeII_4686 468.6 0.0 0.0 0.0
HeI_5876 587.6 0.0 0.0 0.0
SIII_9069 906.9 0.0 0.0 0.0
SIII_9532 953.2 0.0 0.0 0.0
NV-1240 124.08125 0.0 0.0 0.0
SiIV-1398 139.826655 0.0 0.0 0.0
CIV-1549 154.94925 0.0 0.0 0.0
NiII-1746 174.67344 0.0 0.0 0.0
AlIII-1858 185.87547 0.0 0.0 0.0
MgII-2799 279.99429 0.0 0.0 0.0
COJ0_AX00_R 154.444965 0.01582 100000000.0 0.0
COJ1_AX00_R 154.438952 0.007893 100000000.0 0.0
COJ1_AX00_Q 154.454133 0.007908 100000000.0 0.0
COJ2_AX00_R 154.434528 0.006294 100000000.0 0.0
COJ2_AX00_Q 154.457263 0.007893 100000000.0 0.0
COJ2_AX00_P 154.472485 0.001582 100000000.0 0.0
COJ3_AX00_R 154.431734 0.00559 100000000.0 0.0
COJ3_AX00_Q 154.46195 0.007868 100000000.0 0.0
COJ3_AX00_P 154.484819 0.002255 100000000.0 0.0
COJ4_AX00_R 154.430586 0.005168 100000000.0 0.0
COJ4_AX00_Q 154.468226 0.007826 100000000.0 0.0
COJ4_AX00_P 154.498742 0.002623 100000000.0 0.0
COJ0_AX10_R 150.974781 0.02835 96000000.0 0.0
COJ1_AX10_R 150.969595 0.01439 96000000.0 0.0
COJ1_AX10_Q 150.983545 0.01417 96000000.0 0.0
COJ2_AX10_R 150.966147 0.01174 96000000.0 0.0
COJ2_AX10_Q 150.987124 0.01439 96000000.0 0.0
COJ2_AX10_P 151.001077 0.002835 96000000.0 0.0
COJ3_AX10_R 150.964364 0.01072 96000000.0 0.0
COJ3_AX10_Q 150.992437 0.01468 96000000.0 0.0
COJ3_AX10_P 151.013424 0.004111 96000000.0 0.0
COJ4_AX10_R 150.964196 0.01023 96000000.0 0.0
